Aalborg;Denmark;Romance Standard Time;GMT+02:00
Abbotsford, BC;Canada;Pacific Standard Time;GMT-08:00
Aberdeen;United Kingdom;GMT Standard Time;GMT
Abidjan;Cote d'Ivoire;Greenwich Standard Time;GMT
Abu Dhabi;United Arab Emirates;Arabian Standard Time;GMT+04:00
Abuja;Nigeria;W. Central Africa Standard Time;GMT+01:00
Acapulco;Mexico;Mexico Standard Time;GMT-06:00
Accra;Ghana;Greenwich Standard Time;GMT
Adak, AK;United States;Hawaii-Aleutian Standard Time;GMT-10:00
Addis Ababa;Ethiopia;E. Africa Standard Time;GMT+03:00
Adelaide;Australia;Cen. Australia Standard Time;GMT+09:30
Aden;Yemen;Arab Standard Time;GMT+03:00
Agra;India;India Standard Time;GMT+05:30
Ahmedabad;India;India Standard Time;GMT+05:30
Akita;Japan;Tokyo Standard Time;GMT+09:00
Aklavik, NT;Canada;Mountain Standard Time;GMT-07:00
Akron, OH;United States;Eastern Standard Time;GMT-05:00
Akumal;Mexico;Mexico Standard Time;GMT-06:00
Al Ahsa;Saudi Arabia;Arab Standard Time;GMT+03:00
Al Ain;United Arab Emirates;Arabian Standard Time;GMT+04:00
Al Bayda';Yemen;Arab Standard Time;GMT+03:00
Al Hudaydah;Yemen;Arab Standard Time;GMT+03:00
Al Jahra;Kuwait;Arab Standard Time;GMT+03:00
Alacati;Turkey;Turkey Standard Time;GMT+02:00
Alajuela;Costa Rica;Central America Standard Time;GMT-06:00
Albany, NY;United States;Eastern Standard Time;GMT-05:00
Albena;Bulgaria;FLE Standard Time;GMT+02:00
Albuquerque, NM;United States;Mountain Standard Time;GMT-07:00
Albury;Australia;AUS Eastern Standard Time;GMT+10:00
Alert, NU;Canada;Eastern Standard Time;GMT-05:00
Alexandria;Egypt;Egypt Standard Time;GMT+02:00
Algiers;Algeria;W. Central Africa Standard Time;GMT+01:00
Alicante;Spain;Romance Standard Time;GMT+01:00
Alice Springs;Australia;AUS Central Standard Time;GMT+09:30
Almaty;Kazakhstan;Central Asia Standard Time;GMT+06:00
Almeria;Spain;Romance Standard Time;GMT+01:00
Alofi;Niue;Midway Island Standard Time;GMT-11:00
Alupka;Ukraine;Ukraine Standard Time;GMT+02:00
Ambato;Ecuador;SA Pacific Standard Time;GMT-05:00
Ambon;Indonesia;Tokyo Standard Time;GMT+09:00
Amersfoort;Netherlands;W. Europe Standard Time;GMT+01:00
Amherst, NS;Canada;Atlantic Standard Time;GMT-04:00
Amiens;France;Romance Standard Time;GMT+01:00
Amman;Jordan;Jordan Standard Time;GMT+02:00
Amritsar;India;India Standard Time;GMT+05:30
Amsterdam;Netherlands;W. Europe Standard Time;GMT+01:00
Anadyr;Russia;Magadan Standard Time;GMT+12:00
Anapa;Russia;Russian Standard Time;GMT+04:00
Anchorage, AK;United States;Alaskan Standard Time;GMT-09:00
Ancona;Italy;W. Europe Standard Time;GMT+01:00
Andorra la Vella;Andorra;Romance Standard Time;GMT+01:00
Ankara;Turkey;Turkey Standard Time;GMT+02:00
Annapolis, MD;United States;Eastern Standard Time;GMT-05:00
Anshan;China;China Standard Time;GMT+08:00
Antananarivo;Madagascar;E. Africa Standard Time;GMT+03:00
Antigua;Guatemala;Guatemala Standard Time;GMT-06:00
Antwerp;Belgium;Romance Standard Time;GMT+01:00
Apia;Samoa;Samoa Standard Time;GMT-13:00
Aqaba;Jordan;Jordan Standard Time;GMT+02:00
Arad;Romania;FLE Standard Time;GMT+02:00
Arequipa;Peru;SA Pacific Standard Time;GMT-05:00
Arica;Chile;Chile Standard Time;GMT-04:00
Arkhangelsk;Russia;Russian Standard Time;GMT+04:00
Arklow;Ireland;GMT Standard Time;GMT
Armstrong, BC;Canada;Pacific Standard Time;GMT-08:00
Arraial do Cabo;Brazil;E. South America Standard Time;GMT-03:00
